재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_RevenueFromDividends	         배당금수익		104,051,148,000			104,977,165,000	75,296,564,000
손익계산서, 기능별 분류 - 별도	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_RevenueFromRoyalties	         로열티수익		125,990,951,000			126,309,586,000	104,189,586,000
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		330,671,488,073			262,723,384,746	257,666,947,427
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		33,735,937,794			13,193,818,240	5,426,274,618
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		47,996,772,293			28,299,096,714	75,624,941,482
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		7,192,153,055,836			7,405,883,312,628	6,968,198,857,430
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본 및 희석 주당이익		9,545			9,144	3,798
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		144,582,319,287			126,751,925,547	134,854,296,673
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		87,912,249,486			126,911,771,731	69,597,941,487
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		906,284,455,902			808,770,552,904	760,447,844,408
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세 수익(비용)		51,133,709,463			47,201,743,802	28,430,424,451
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익		208,606,874,310			200,576,208,654	93,781,500,926
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익		259,740,583,773			247,777,952,456	122,211,925,377
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		8,098,437,511,738			8,214,653,865,532	7,728,646,701,838
손익계산서, 기능별 분류 - 별도	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2023-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매 및 일반관리비		575,612,967,829			546,047,168,158	502,780,896,981
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_ImpairmentLossesOnAssociates	      관계기업/공동기업투자손상차손		5,229,168,722			22,631,673,343	0
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		257,926,800,324			761,725,581,633	389,072,695,019
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		36,162,186,462			45,041,136,923	19,276,240,398
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		21,474,178,316			47,114,684,851	22,760,003,418
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_ReversalsOfImpairmentLossesOnAssociates	      관계기업/공동기업투자손상차손환입		0			0	26,186,842,065
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		147,950,916,989			166,098,917,994	139,411,847,794
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		657,383,390,025			741,652,222,649	686,197,497,365
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		6,029			12,792	7,226
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당이익(손실)		6,029			12,792	7,226
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		9,736,844,152			19,338,490,603	4,930,928,023
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		41,370,647,191			25,091,884,463	7,806,032,347
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		405,877,717,313			927,824,499,627	528,484,542,813
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		43,836,813,704			186,836,346,170	100,643,567,334
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		255,182,629,083			555,937,408,052	314,007,311,054
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		299,019,442,787			742,773,754,222	414,650,878,388
손익계산서, 기능별 분류 - 별도	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		1,063,261,107,338			1,669,476,722,276	1,214,682,040,178
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		91,067,298,703			195,878,366,235	-14,342,195,735
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타수익		8,331,817,671			26,019,716,062	28,681,167,823
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		532,122,196			43,331,234,605	43,947,531,613
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비및관리비 등		14,162,059,871			16,049,721,079	19,843,647,567
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		5,896,771,324			11,811,804,531	40,696,204,114
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		18,168,554,213			15,279,848,227	16,509,843,862
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		8,687,543,612			4,219,991,053	4,252,976,123
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		105,229,358,574			211,928,087,314	5,501,451,832
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		7,320,017,055			20,319,319,333	11,577,232,264
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		82,065,966,522			147,187,671,185	400,961,376,753
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		89,385,983,577			167,506,990,518	-41,865,427,264
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromContinuingOperations	      계속영업이익(손실)		82,065,966,522			147,187,671,185	-53,442,659,528
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossFromDiscontinuedOperations	      중단영업이익(손실)						454,404,036,281
손익계산서, 기능별 분류 - 별도	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		111,126,129,898			223,739,891,845	46,197,655,946
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		221,798,778,295			402,580,786,924	679,718,390,040
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		74,477,171,032			160,458,633,155	111,415,785,008
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		155,047,564,175			173,038,335,490	166,570,770,531
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		330,646,634,797			349,777,255,828	345,017,556,763
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		4,615,661,601,461			4,523,301,969,719	4,224,663,513,411
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	entity01524093_BasicEarningsPerPreferenceShareOfEarningsPerShareAbstract	         우선주당이익(손실)		2,464			4,335	10,778
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		3,768			7,614	10,778
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		50,280,980,014			57,149,700,869	53,417,690,569
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		131,739,659,418			136,896,068,180	110,006,469,352
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		552,445,413,092			752,358,042,752	1,024,735,946,803
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		70,974,269,663			159,539,910,154	218,797,747,348
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		151,712,794,893			310,207,541,746	462,354,435,952
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		222,687,064,556			469,747,451,900	681,152,183,300
손익계산서, 기능별 분류 - 별도	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		5,168,107,014,553			5,275,660,012,471	5,249,399,460,214
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		110,782,420,837			107,225,383,210	103,012,361,522
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타수익		32,013,352,906			103,545,385,679	228,339,660,083
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		18,494,865,853			46,211,582,973	3,272,317,750
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비및관리비		124,442,309,718			129,003,567,666	95,991,720,533
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		1,371,157,313,403			1,594,055,247,770	1,273,311,670,985
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석 주당이익(손실)		4,560			5,540	39,781
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		95,288,532,296			114,769,612,196	11,624,968,642
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		15,390,995,785			20,785,569,419	6,075,800,367
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		235,224,730,555			236,228,950,876	199,004,082,055
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		2,768,031,796			19,985,633,153	43,677,267,557
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		41,635,339,583			50,589,509,986	278,853,268,023
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		44,403,371,379			70,575,143,139	322,530,535,580
손익계산서, 기능별 분류 - 별도	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		1,606,382,043,958			1,830,284,198,646	1,472,315,753,040
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		19,953,412,020			31,078,773,137	12,534,502,102
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		2,691,652,356			5,169,563,295	2,976,268,845
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		6,363,193,384			6,286,906,075	3,173,858,073
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		15,516,078,423			18,485,644,095	15,381,394,475
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		154,748,608,483			196,841,393,024	166,997,099,754
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		889			1,202	560
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		11,561,367,896			13,377,716,469	1,487,255,209
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		13,219,939,440			9,944,830,445	1,757,139,395
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		35,469,490,443			49,564,417,232	27,915,896,577
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		3,709,329,360			7,294,227,010	3,671,091,230
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates	      종속기업, 공동지배기업과 관계기업으로부터의 기타이익(비용)		0			0	22,501,659
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		14,231,113,176			19,234,317,323	8,958,207,489
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		17,940,442,536			26,528,544,333	12,629,298,719
손익계산서, 기능별 분류 - 별도	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		190,218,098,926			246,405,810,256	194,912,996,331
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		918,375,000,000			479,123,000,000	159,551,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		374,000,000			1,896,000,000	171,107,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		279,000,000			142,000,000	491,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		86,417,000,000			84,279,000,000	71,019,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	entity00500254_BasicEarningsLossPerSharePreferredStocKOfEarningsPerShareAbstract	         우선주기본주당순이익(손실)		9,316			4,754	3,216
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실) 합계		9,266			4,704	3,166
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		40,721,000,000			33,297,000,000	24,915,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		14,278,000,000			18,002,000,000	12,450,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		1,004,792,000,000			563,402,000,000	230,570,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용		14,698,000,000			20,105,000,000	17,855,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		877,329,000,000			445,477,000,000	299,848,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		892,027,000,000			465,582,000,000	317,702,000,000
손익계산서, 기능별 분류 - 별도	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2023-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		1,004,792,000,000			563,402,000,000	230,570,000,000
